epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.675,2.33608,3.00569,1.57476,0.0291,0.61633,0.02227,0.00792,2.24147,67.5389,1.51392,0.000665037,0.000665037,0.000665037
2,403.528,2.2918,2.04134,1.54489,0.56355,0.49429,0.46006,0.15609,2.1222,2.01824,1.40979,0.00130534,0.00130534,0.00130534
3,601.111,2.20784,1.96021,1.51144,0.6432,0.54522,0.5417,0.19689,2.09148,1.61075,1.38076,0.00191923,0.00191923,0.00191923
4,797.841,2.18459,1.86707,1.48358,0.68948,0.58385,0.58784,0.19974,2.11833,1.4426,1.38171,0.0018812,0.0018812,0.0018812
5,994.424,2.10264,1.69826,1.44495,0.6277,0.54258,0.54459,0.19157,2.04213,1.55463,1.33803,0.0018416,0.0018416,0.0018416
6,1190.81,2.07737,1.67413,1.42128,0.67181,0.61984,0.61694,0.23352,1.97641,1.34609,1.30219,0.001802,0.001802,0.001802
7,1387.48,2.01593,1.59725,1.40221,0.70647,0.66774,0.66227,0.25007,1.98089,1.34067,1.30518,0.0017624,0.0017624,0.0017624
8,1584.2,1.99924,1.5297,1.37451,0.69944,0.65585,0.63642,0.22852,2.05957,1.35712,1.33865,0.0017228,0.0017228,0.0017228
9,1780.6,2.00151,1.51253,1.37745,0.71654,0.63477,0.65113,0.24316,1.97219,1.3142,1.30762,0.0016832,0.0016832,0.0016832
10,1977.12,1.96601,1.48303,1.36196,0.74472,0.705,0.68089,0.25541,2.01232,1.23483,1.3216,0.0016436,0.0016436,0.0016436
11,2173.81,1.95749,1.46912,1.36562,0.75373,0.71203,0.72864,0.27664,1.96487,1.25142,1.30363,0.001604,0.001604,0.001604
12,2370.44,1.93151,1.40592,1.33235,0.7242,0.70149,0.68101,0.2556,1.92848,1.2409,1.27965,0.0015644,0.0015644,0.0015644
13,2567.09,1.92277,1.38056,1.34501,0.71033,0.68393,0.71195,0.28414,1.92703,1.22481,1.27164,0.0015248,0.0015248,0.0015248
14,2763.51,1.90772,1.36842,1.33633,0.78143,0.7252,0.71414,0.28421,1.91916,1.1683,1.26922,0.0014852,0.0014852,0.0014852
15,2960.01,1.89908,1.33646,1.3253,0.77684,0.69183,0.72952,0.28875,1.90505,1.16993,1.26631,0.0014456,0.0014456,0.0014456
16,3156.31,1.89452,1.30973,1.3151,0.79377,0.72317,0.75466,0.30539,1.95252,1.14833,1.28776,0.001406,0.001406,0.001406
17,3352.53,1.86769,1.28762,1.31231,0.7951,0.71642,0.75879,0.30767,1.89624,1.14035,1.26328,0.0013664,0.0013664,0.0013664
18,3548.85,1.87022,1.28153,1.30295,0.79415,0.73162,0.75486,0.31039,1.89191,1.13745,1.26694,0.0013268,0.0013268,0.0013268
19,3745.1,1.85837,1.27248,1.30574,0.80344,0.72695,0.77351,0.31465,1.9042,1.12162,1.25883,0.0012872,0.0012872,0.0012872
20,3941.2,1.83968,1.2398,1.29635,0.78571,0.73573,0.75707,0.31333,1.93255,1.10826,1.27994,0.0012476,0.0012476,0.0012476
21,4137.15,1.84488,1.2278,1.29412,0.80459,0.73749,0.7603,0.31356,1.85735,1.09821,1.24983,0.001208,0.001208,0.001208
22,4333.07,1.82559,1.21401,1.28718,0.80151,0.7331,0.77672,0.325,1.86903,1.12098,1.24851,0.0011684,0.0011684,0.0011684
23,4529.25,1.82114,1.19657,1.28692,0.80425,0.70939,0.78326,0.33127,1.86889,1.1016,1.24987,0.0011288,0.0011288,0.0011288
24,4725.23,1.80605,1.18734,1.27453,0.82471,0.74767,0.77656,0.32473,1.86899,1.07791,1.24915,0.0010892,0.0010892,0.0010892
25,4921.17,1.79493,1.17115,1.26957,0.81714,0.76506,0.77292,0.31525,1.89389,1.07905,1.26073,0.0010496,0.0010496,0.0010496
26,5117.14,1.79233,1.16314,1.26833,0.8087,0.77524,0.77898,0.32807,1.87071,1.06613,1.25049,0.00101,0.00101,0.00101
27,5313.2,1.80432,1.16443,1.27707,0.79385,0.73924,0.7641,0.31764,1.86899,1.07613,1.24971,0.0009704,0.0009704,0.0009704
28,5509.42,1.77719,1.13859,1.25982,0.81693,0.7679,0.78095,0.32742,1.87549,1.08735,1.2496,0.0009308,0.0009308,0.0009308
29,5705.93,1.77414,1.13154,1.26024,0.83208,0.74393,0.7934,0.33732,1.83559,1.07097,1.23297,0.0008912,0.0008912,0.0008912
30,5902.42,1.76547,1.10935,1.25928,0.81112,0.78051,0.79986,0.34479,1.85435,1.05123,1.24189,0.0008516,0.0008516,0.0008516
31,6098.93,1.75496,1.11168,1.25228,0.82914,0.74557,0.77938,0.3352,1.86532,1.04336,1.24756,0.000812,0.000812,0.000812
32,6295.32,1.74881,1.0964,1.25063,0.80045,0.75593,0.78118,0.3307,1.8542,1.05603,1.23542,0.0007724,0.0007724,0.0007724
33,6491.79,1.73731,1.10289,1.23948,0.82461,0.76366,0.79769,0.34275,1.81843,1.05062,1.22742,0.0007328,0.0007328,0.0007328
34,6688.28,1.72083,1.07402,1.23239,0.83202,0.75234,0.80375,0.34845,1.83368,1.04165,1.23572,0.0006932,0.0006932,0.0006932
35,6884.89,1.74167,1.06142,1.24861,0.83994,0.76822,0.81213,0.35388,1.85514,0.99966,1.23773,0.0006536,0.0006536,0.0006536
36,7081.32,1.71707,1.0365,1.22911,0.83813,0.76558,0.80483,0.34765,1.83872,1.03105,1.22819,0.000614,0.000614,0.000614
37,7277.64,1.6902,1.01879,1.21284,0.83593,0.77387,0.80772,0.34676,1.83263,1.02009,1.22864,0.0005744,0.0005744,0.0005744
38,7473.97,1.71508,1.02203,1.23588,0.83681,0.77875,0.80563,0.34582,1.83431,1.01565,1.22359,0.0005348,0.0005348,0.0005348
39,7670.25,1.6898,1.00081,1.22312,0.83429,0.77173,0.80488,0.3457,1.85605,1.01969,1.23274,0.0004952,0.0004952,0.0004952
40,7866.54,1.69404,1.00355,1.22353,0.8494,0.77085,0.80523,0.3521,1.84321,1.0016,1.22963,0.0004556,0.0004556,0.0004556
41,8066.48,1.65372,0.92746,1.26027,0.83507,0.75241,0.80307,0.35018,1.84388,1.00509,1.22549,0.000416,0.000416,0.000416
42,8262.7,1.64669,0.91462,1.25756,0.83044,0.76734,0.79656,0.3514,1.84858,0.99602,1.23408,0.0003764,0.0003764,0.0003764
43,8459.04,1.63539,0.89054,1.25021,0.83375,0.77051,0.80801,0.34639,1.87468,0.99629,1.24068,0.0003368,0.0003368,0.0003368
44,8655.26,1.62263,0.87604,1.24386,0.84823,0.75241,0.80041,0.3527,1.86628,0.98753,1.24204,0.0002972,0.0002972,0.0002972
45,8851.59,1.61209,0.87107,1.24185,0.84362,0.75593,0.81364,0.35972,1.84411,0.97575,1.22904,0.0002576,0.0002576,0.0002576
46,9048.08,1.60298,0.84487,1.23984,0.85051,0.76383,0.81229,0.35939,1.85619,0.97407,1.23603,0.000218,0.000218,0.000218
47,9245.06,1.59784,0.84416,1.23968,0.84907,0.76119,0.81177,0.35836,1.85503,0.96755,1.23891,0.0001784,0.0001784,0.0001784
48,9443.2,1.57706,0.82277,1.22059,0.84794,0.76377,0.81368,0.35579,1.86696,0.96619,1.25031,0.0001388,0.0001388,0.0001388
49,9639.85,1.57494,0.80636,1.22284,0.85273,0.75743,0.80781,0.35508,1.86998,0.96082,1.24983,9.92e-05,9.92e-05,9.92e-05
50,9836.07,1.56566,0.80656,1.21899,0.84129,0.75392,0.80972,0.35595,1.87287,0.96512,1.25028,5.96e-05,5.96e-05,5.96e-05
