epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8155,1.0855,1.27253,1.0608,0.87248,0.72871,0.88246,0.60048,1.12631,2.36813,1.1834,0.000663176,0.000663176,0.000663176
2,78.0653,1.07679,0.84748,1.04961,0.86662,0.76889,0.83447,0.56462,1.25129,1.06067,1.19723,0.00130591,0.00130591,0.00130591
3,114.642,1.06953,0.81404,1.05604,0.75316,0.82249,0.84455,0.58368,1.02208,1.98977,1.09778,0.00192464,0.00192464,0.00192464
4,150.75,1.06103,0.79008,1.0549,0.9184,0.87574,0.92726,0.65716,1.06407,0.78733,1.09331,0.001892,0.001892,0.001892
5,187.153,1.0104,0.74697,1.02897,0.97408,0.88943,0.9654,0.73887,0.90355,0.67358,0.99965,0.001856,0.001856,0.001856
6,223.467,0.99664,0.68797,1.01192,0.93965,0.92308,0.9641,0.75522,0.85649,0.62828,0.97058,0.00182,0.00182,0.00182
7,259.798,0.95743,0.65594,1.0006,0.8801,0.78107,0.815,0.62958,0.89331,1.32036,1.04062,0.001784,0.001784,0.001784
8,296.155,0.91121,0.62166,0.98511,0.96168,0.94083,0.9776,0.74058,0.94732,0.64388,0.99003,0.001748,0.001748,0.001748
9,332.429,0.88134,0.61405,0.97346,0.98177,0.95598,0.98668,0.75139,0.88049,0.54596,0.94573,0.001712,0.001712,0.001712
10,368.765,0.84303,0.56681,0.9516,0.98426,0.94083,0.98437,0.8055,0.71999,0.50271,0.93119,0.001676,0.001676,0.001676
11,405.043,0.85045,0.5725,0.96628,0.97569,0.95006,0.97656,0.76401,0.83544,0.52947,0.94279,0.00164,0.00164,0.00164
12,441.246,0.81476,0.54133,0.94988,0.9764,0.97921,0.98695,0.80016,0.75423,0.47883,0.93511,0.001604,0.001604,0.001604
13,477.639,0.82591,0.53203,0.96142,0.97041,0.97033,0.99171,0.82363,0.70962,0.46209,0.92151,0.001568,0.001568,0.001568
14,514.119,0.80655,0.53567,0.94242,0.91944,0.98225,0.98749,0.81571,0.73837,0.49542,0.91384,0.001532,0.001532,0.001532
15,550.436,0.81178,0.52433,0.93703,0.97619,0.97028,0.98939,0.81576,0.70324,0.44499,0.90476,0.001496,0.001496,0.001496
16,586.88,0.77293,0.4896,0.94112,0.99392,0.96763,0.99027,0.82833,0.69169,0.44205,0.90044,0.00146,0.00146,0.00146
